path,label,h_bin_0,h_bin_1,h_bin_2,h_bin_3,h_bin_4,h_bin_5,h_bin_6,h_bin_7,s_bin_0,s_bin_1,s_bin_2,s_bin_3,s_bin_4,s_bin_5,s_bin_6,s_bin_7,v_bin_0,v_bin_1,v_bin_2,v_bin_3,v_bin_4,v_bin_5,v_bin_6,v_bin_7,h_mean,s_mean,v_mean,h_std,s_std,v_std,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,perim_area_ratio,aspect_ratio,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,vein_density,vein_direction_consistency,vein_mean_width,vein_var_width,edge_roughness,edge_angle_variance,edge_complexity
dataset\Type_1\104.jpg,Type_1,0.5631770833326,0.01434895833331465,0.4202343749994528,0.0007421874999990336,0.00046874999999938963,6.51041666665819e-05,0.000963541666665412,0.0,0.5643749999992651,0.0004166666666661241,0.0002994791666662767,0.0008072916666656155,0.006822916666657783,0.24213541666635138,0.15053385416647067,0.03460937499995494,0.0018098958333309767,0.001067708333331943,0.0020442708333306713,0.003815104166661699,0.20690104166639725,0.1718749999997762,0.031575520833292216,0.580911458332577,46.613399505615234,0.3270300030708313,0.8440482020378113,53.555667877197266,0.3763865530490875,0.1911453753709793,-8.418773735957249,-16.556592532438188,-18.97397036433986,-18.509734367265608,-37.2504791186887,-26.780739896343654,-36.10485029613841,1.9883497019123284,1.378378316289265,0.09299191374650786,0.034221235664031735,0.033243486073630826,0.017903387770178764,0.04130331377828695,0.0287114845937996,0.016806722689053425,0.03247714180007336,0.03377199936573943,0.6685693145173768,0.22720901791452924,0.43925851583480835,1.032425045967102,0.5014894008636475,76.93502249577965,2.349781741418256,364.10693378736187
dataset\Type_1\114.jpg,Type_1,0.7044921874990827,0.0040364583333280775,0.2896484374996228,0.000273437499999644,0.0009895833333320447,0.0002604166666663276,0.00023437499999969482,6.51041666665819e-05,0.7047656249990824,0.0002994791666662767,0.0002994791666662767,0.000377604166666175,0.0004427083333327569,0.006458333333324924,0.18127604166643063,0.10608072916652854,0.003906249999994914,0.001302083333331638,0.002031249999997355,0.03196614583329171,0.1788671874997671,0.0681249999999113,0.009127604166654781,0.7046744791657491,31.776161193847656,0.253330796957016,0.8748772144317627,49.41749954223633,0.3931463360786438,0.20168156921863556,-8.096246425522386,-15.93047203762424,-16.28250553949522,-15.436655576881195,-31.25067362145127,-22.124819162834374,-30.93477974835209,1.994617478303073,1.598802299472916,0.06365942603448066,0.024153057449362938,0.022237196765469272,0.012063315892378754,0.027958353152544847,0.02008350510012673,0.012129380053892328,0.019951376777099582,0.022818561386788727,0.7749458273865348,0.20841884624757923,0.4397326707839966,1.0970890522003174,0.525971531867981,68.37033481368572,2.268914685975213,301.8469661896467
dataset\Type_1\115.jpg,Type_1,0.7326692708323793,0.005221354166659868,0.26057291666632737,0.00033854166666622584,0.0008203124999989319,0.00011718749999984741,0.00020833333333306205,5.208333333326551e-05,0.732903645832379,0.0002604166666663276,0.0004166666666661241,0.00033854166666622584,0.0006640624999991353,0.004257812499994456,0.1304557291664968,0.1307031249998298,0.001445312499998118,0.0008072916666656155,0.001341145833331587,0.021406249999972128,0.12555989583316984,0.09503906249987625,0.01816406249997635,0.7362369791657081,27.889225006103516,0.23369915783405304,0.8970033526420593,46.51557922363281,0.3889318108558655,0.17935992777347565,-7.968213576943895,-15.608121120491914,-16.06906466830865,-15.702392319770894,-31.587908112609295,-23.460251318480093,30.083522285510927,1.9919049832605646,1.3647058020761293,0.0582157391257621,0.02152370382112266,0.01906611701281768,0.010107816711576942,0.025659320331872446,0.01884149886367153,0.011164843295794138,0.018497965223800938,0.021510490988819946,0.7954125046234404,0.22909885828073895,0.4357079863548279,1.010101556777954,0.4361121654510498,65.19634547781239,2.2997434701879804,285.788022730722
dataset\Type_1\118.jpg,Type_1,0.5765364583325826,0.0196354166666411,0.4019531249994766,0.00033854166666622584,0.0003124999999995931,0.00018229166666642932,0.0009374999999987793,0.00010416666666653103,0.577578124999248,0.0004557291666660733,0.00036458333333285863,0.0005338541666659716,0.005833333333325738,0.07562499999990153,0.26467447916632203,0.07493489583323576,0.002057291666663988,0.0008333333333322482,0.001445312499998118,0.0017317708333310785,0.11984374999984396,0.2161458333330519,0.055455729166594456,0.6024869791658821,44.232208251953125,0.3408842384815216,0.8642579913139343,52.28824996948242,0.4023280739784241,0.1738443374633789,-8.376613908954848,-16.433911052442177,-19.137073143279157,-18.596352450383737,-37.45650832234179,-26.78159814692789,-36.699767980396814,1.987123069645665,1.4396134570235044,0.09023043179524043,0.033071719253695536,0.0320675439986892,0.016463189049182834,0.0401141588710426,0.027403414195830818,0.016753871359842566,0.031340838222039875,0.03095766608526114,0.6815971671678537,0.1919024359684507,0.4370311498641968,1.1603143215179443,0.5662428736686707,79.52657524659848,2.3354638425898058,358.5256654154541
dataset\Type_1\125.jpg,Type_1,0.6241536458325206,0.0076171874999900815,0.36570312499952384,0.0006640624999991353,0.001406249999998169,0.00019531249999974568,0.00019531249999974568,6.51041666665819e-05,0.6244270833325203,0.0002864583333329603,0.0004166666666661241,0.001132812499998525,0.012851562499983265,0.23916666666635525,0.10561197916652915,0.01610677083331236,0.00377604166666175,0.0015494791666646492,0.0017447916666643948,0.015403645833313277,0.22207031249971085,0.11454427083318419,0.016015624999979147,0.6248958333325196,40.169883728027344,0.2750241458415985,0.8481172919273376,52.17845916748047,0.35777002573013306,0.20505978167057037,-8.310137636048756,-16.369789277946634,-17.954552571376976,-17.254685075099417,-34.7707065192157,-25.076531700995726,-34.62184258207066,1.9857911309712228,1.4795917612453182,0.0772950689708825,0.028381163786231726,0.027456265525041677,0.014388774377656587,0.037035568944510024,0.024892976058314975,0.014890862005159756,0.026121769462467467,0.030138470482492814,0.7193990803859212,0.15432268717155745,0.43891745805740356,1.436335802078247,0.8753222227096558,76.3599457986013,2.3170418057290303,338.4943739769504
dataset\Type_1\127.jpg,Type_1,0.7229036458323921,0.007799479166656511,0.2673697916663185,0.000585937499999237,0.0007942708333322991,7.812499999989828e-05,0.0004427083333327569,2.6041666666632757e-05,0.7234114583323914,0.0002473958333330112,0.00040364583333280776,0.000481770833332706,0.001028645833331994,0.06294270833325137,0.17411458333310662,0.03736979166661801,0.0017317708333310785,0.0008723958333321974,0.0016666666666644964,0.00769531249998998,0.14028645833315068,0.09697916666654038,0.022265624999971007,0.7285026041657181,29.350494384765625,0.2208516001701355,0.8965100049972534,47.841636657714844,0.35960713028907776,0.17708851397037506,-8.063816781040689,-15.903321189545208,-18.21851113075797,-17.943403287081146,-36.024170306441476,-25.88960508412555,34.49548158631471,1.9752600510943645,1.539325756217654,0.057713651498258925,0.021484065324214516,0.019158606838936686,0.011402674277243006,0.027984778817150276,0.019977802441705012,0.01220865704770862,0.019237883832752975,0.0219993657840204,0.7888325141366883,0.21924807790209636,0.43899303674697876,1.0430001020431519,0.4494009017944336,63.49445105384974,2.3062812024616766,288.49616096722553
dataset\Type_1\68.jpg,Type_1,0.6643880208324683,0.008919270833321719,0.32541666666624297,0.000377604166666175,0.000585937499999237,7.812499999989828e-05,0.00019531249999974568,3.906249999994914e-05,0.6646614583324679,0.0002994791666662767,0.00039062499999949137,0.000546874999999288,0.0009114583333321466,0.035052083333287694,0.21023437499972625,0.08790364583321887,0.0017708333333310276,0.0010156249999986775,0.0018229166666642932,0.002656249999996541,0.20044270833307234,0.11260416666652004,0.01269531249998347,0.6669921874991315,35.023277282714844,0.279278963804245,0.8710315823554993,49.57694625854492,0.39600107073783875,0.188472181558609,-8.187606390629046,-16.08862771707316,-16.06471627764195,-16.17809160822443,-32.272541218562225,-24.19929785065579,-31.833094909861195,1.9944292030490491,1.6432747577032305,0.06939379525385894,0.0230563923682376,0.020836636541381483,0.013027852650476946,0.02901537973676204,0.02708630622056566,0.014296284551537582,0.02567253316417516,0.029239997885908198,0.7483748216257751,0.19885462206444507,0.42416512966156006,1.1495280265808105,0.5737424492835999,76.13645472563853,2.253052464915511,320.6195952745591
dataset\Type_1\69.jpg,Type_1,0.5938281249992268,0.008697916666655342,0.39546874999948506,0.0007291666666657173,0.0008203124999989319,0.00023437499999969482,0.00016927083333311292,5.208333333326551e-05,0.5941015624992264,0.0005338541666659716,0.0005989583333325534,0.000963541666665412,0.007929687499989674,0.18683593749975672,0.17072916666644436,0.03830729166661679,0.0027864583333297053,0.0019140624999975078,0.0022786458333303662,0.0028645833333296035,0.27891927083297013,0.10480468749986353,0.01085937499998586,0.5955729166658912,42.97903060913086,0.3092939555644989,0.8379235863685608,52.30544662475586,0.3784429132938385,0.2041173279285431,-8.373240853209252,-16.493154245063078,-18.188137158445908,-17.369047284880796,-34.99099139919913,-25.253418113175822,35.003089142148696,1.9999317919349493,1.4637680452285968,0.08144389831393499,0.027918714655636702,0.02626711061779733,0.015313672638846634,0.036890227789180156,0.028949315575248467,0.017216320490437587,0.031393689551250735,0.03533111357745979,0.6992759367888863,0.177176793583072,0.43000245094299316,1.2516413927078247,0.6520861387252808,76.43363814817687,2.326582538203691,353.9314075288753
dataset\Type_1\70.jpg,Type_1,0.5736588541659197,0.008359374999989115,0.4168098958327906,0.0004557291666660733,0.0002604166666663276,0.0001302083333331638,0.0003124999999995931,1.3020833333316378e-05,0.5741145833325858,0.00039062499999949137,0.0004296874999994405,0.0004557291666660733,0.04574218749994044,0.2540624999996692,0.10624999999986165,0.01855468749997584,0.001614583333331231,0.001171874999998474,0.00212239583333057,0.0033463541666623096,0.29333333333295136,0.10665364583319446,0.014036458333315056,0.5777213541659144,45.46300506591797,0.30530938506126404,0.8312200307846069,53.04359436035156,0.35898417234420776,0.20378771424293518,-8.383221475339619,-16.457820366421164,-18.30480540363751,-17.74804495980764,-35.77411941583371,-25.97533349505011,-34.37840143764537,2.010190634103624,1.5380709879151782,0.08490566037724631,0.028843612916826748,0.02666349558687878,0.016714232862934417,0.03655990698161228,0.030429152793152545,0.018709370540644376,0.033296337402841686,0.036573119813915,0.6873051107226266,0.17719549761242243,0.42541277408599854,1.3085473775863647,0.7824768424034119,83.40541600426077,2.2641552377646392,363.9666305608018
dataset\Type_1\74.jpg,Type_1,0.6332942708325088,0.006575520833324772,0.3583854166662,0.0006380208333325026,0.0007421874999990336,5.208333333326551e-05,0.0002994791666662767,1.3020833333316378e-05,0.6335156249991751,0.0005078124999993388,0.000377604166666175,0.0004296874999994405,0.0011458333333318413,0.11871093749984543,0.1740234374997734,0.07128906249990717,0.001302083333331638,0.0009765624999987284,0.0016927083333311292,0.003906249999994914,0.22874999999970214,0.11140624999985493,0.014427083333314548,0.6375390624991699,39.30276870727539,0.2923879027366638,0.8600878119468689,51.962162017822266,0.38863325119018555,0.19126665592193604,-8.264299263094864,-16.243514462350433,-17.290596748217514,-17.08300610499485,-34.269660057276276,-25.19255741305775,-32.685714848959236,1.983430492540541,1.3830845083042533,0.0773875587970015,0.025632894667267016,0.022527879076129,0.01386026108554799,0.03148617937736974,0.026954177897538508,0.015340098303452064,0.027416627028133533,0.03210718249559734,0.727287141270642,0.21120368721460603,0.4260827302932739,1.0735831260681152,0.48295459151268005,73.82127963292324,2.3478652431547244,333.1041258765095
